Customer ID,Email,Created (UTC),Plan Name,Monthly Recurring Revenue,Login Count (30d),Status
cus_00038,user38@acme.io,2025-01-24,Starter,70.36,3,active
cus_00039,user39@acme.io,2025-02-12,Growth,9.0,6,active
cus_00040,user40@acme.io,2024-05-30,Starter,69.84,3,active
cus_00041,user41@acme.io,2024-09-10,Starter,53.39,5,active
cus_00042,user42@acme.io,2024-11-19,Starter,30.26,0,active
cus_00043,user43@acme.io,2024-08-29,Starter,44.76,3,active
cus_00044,user44@acme.io,2024-09-17,Business,58.41,6,active
cus_00045,user45@acme.io,2024-07-30,Growth,72.13,2,active
cus_00046,user46@acme.io,2023-12-26,Growth,73.96,7,active
cus_00047,user47@acme.io,2025-03-24,Growth,44.59,0,active
cus_00048,user48@acme.io,2024-03-12,Business,48.33,2,active
cus_00049,user49@acme.io,2025-01-22,Starter,72.45,5,active
cus_00050,user50@acme.io,2024-03-11,Growth,53.58,0,active
cus_00051,user51@acme.io,2023-09-15,Growth,44.87,3,active
cus_00052,user52@acme.io,2024-09-09,Starter,13.99,5,active
cus_00053,user53@acme.io,2025-04-28,Starter,62.24,7,active
cus_00054,user54@acme.io,2023-03-17,Growth,57.81,5,active
cus_00055,user55@acme.io,2024-07-26,Starter,44.53,3,active
cus_00056,user56@acme.io,2024-05-30,Business,51.22,0,active
cus_00057,user57@acme.io,2025-06-30,Starter,22.93,7,active
cus_00058,user58@acme.io,2023-02-16,Growth,60.49,5,active
cus_00059,user59@acme.io,2024-05-27,Growth,76.6,8,active
cus_00060,user60@acme.io,2023-10-08,Growth,71.31,5,active
cus_00061,user61@acme.io,2025-04-18,Growth,35.19,0,active
cus_00062,user62@acme.io,2024-08-13,Starter,38.38,5,active
cus_00063,user63@acme.io,2025-06-03,Starter,41.56,2,active
cus_00064,user64@acme.io,2023-11-10,Growth,43.49,7,active
cus_00065,user65@acme.io,2023-07-27,Growth,60.35,0,active
cus_00066,user66@acme.io,2024-09-13,Starter,67.64,8,active
cus_00067,user67@acme.io,2025-01-04,Business,37.28,1,active
cus_00068,user68@acme.io,2025-05-17,Growth,42.66,1,active
cus_00069,user69@acme.io,2023-07-28,Growth,29.27,2,active
cus_00070,user70@acme.io,2023-04-09,Starter,94.9,0,active
cus_00071,user71@acme.io,2024-11-11,Growth,30.82,0,active
cus_00072,user72@acme.io,2024-06-19,Starter,76.55,6,active
cus_00073,user73@acme.io,2023-08-06,Growth,57.05,5,active
cus_00074,user74@acme.io,2024-07-07,Growth,58.92,4,active
cus_00075,user75@acme.io,2024-06-13,Growth,61.13,4,active
cus_00076,user76@acme.io,2023-07-11,Growth,38.21,7,active
cus_00077,user77@acme.io,2023-11-27,Starter,69.22,6,active
cus_00078,user78@acme.io,2023-10-15,Starter,24.06,2,active
cus_00079,user79@acme.io,2023-03-08,Growth,45.87,2,active
cus_00080,user80@acme.io,2023-07-29,Business,73.87,7,active
cus_00081,user81@acme.io,2025-01-03,Starter,56.01,2,active
cus_00082,user82@acme.io,2023-12-23,Growth,29.29,8,active
cus_00083,user83@acme.io,2023-12-31,Business,38.83,0,active
cus_00084,user84@acme.io,2025-03-31,Growth,40.18,0,active
cus_00085,user85@acme.io,2025-04-21,Business,83.57,7,active
cus_00086,user86@acme.io,2023-09-25,Starter,51.44,1,active
cus_00087,user87@acme.io,2024-05-24,Growth,52.31,4,active
cus_00088,user88@acme.io,2023-03-02,Growth,63.69,2,active
cus_00089,user89@acme.io,2025-02-12,Starter,72.37,1,active
cus_00090,user90@acme.io,2023-12-05,Starter,50.64,6,active
cus_00091,user91@acme.io,2023-09-05,Business,55.76,4,active
cus_00092,user92@acme.io,2025-06-18,Starter,33.45,7,active
cus_00093,user93@acme.io,2025-03-31,Growth,52.91,8,active
cus_00094,user94@acme.io,2024-10-04,Business,18.15,4,active
cus_00095,user95@acme.io,2024-06-11,Starter,59.47,1,active
cus_00096,user96@acme.io,2024-11-10,Starter,65.28,6,active
cus_00097,user97@acme.io,2025-05-02,Growth,33.87,7,active
cus_00098,user98@acme.io,2024-08-17,Growth,41.54,2,active
cus_00099,user99@acme.io,2024-05-18,Starter,39.88,0,active
cus_00100,user100@acme.io,2024-11-28,Growth,23.47,8,active
cus_00101,user101@acme.io,2023-05-23,Growth,68.66,7,active
cus_00102,user102@acme.io,2023-02-23,Growth,37.1,5,active
cus_00103,user103@acme.io,2023-09-02,Starter,25.93,7,active
cus_00104,user104@acme.io,2025-02-13,Business,42.6,5,active
cus_00105,user105@acme.io,2024-05-16,Starter,63.26,2,active
cus_00106,user106@acme.io,2023-08-20,Business,39.92,1,active
cus_00107,user107@acme.io,2023-04-23,Starter,57.73,4,active
cus_00108,user108@acme.io,2024-12-13,Growth,49.59,1,active
cus_00109,user109@acme.io,2024-05-02,Starter,49.54,7,active
cus_00110,user110@acme.io,2025-06-28,Growth,53.41,5,active
cus_00111,user111@acme.io,2024-11-20,Growth,73.77,3,active
cus_00112,user112@acme.io,2025-01-16,Growth,74.22,4,active
cus_00113,user113@acme.io,2025-03-01,Growth,67.61,7,active
cus_00114,user114@acme.io,2024-04-22,Growth,54.48,1,active
cus_00115,user115@acme.io,2023-07-22,Starter,43.75,6,active
cus_00116,user116@acme.io,2024-01-25,Growth,36.62,1,active
cus_00117,user117@acme.io,2025-02-22,Growth,86.49,1,active
cus_00118,user118@acme.io,2023-08-19,Starter,70.33,5,active
cus_00119,user119@acme.io,2023-12-16,Starter,49.19,7,active
cus_00120,user120@acme.io,2023-05-20,Starter,60.86,6,active
cus_00121,user121@acme.io,2023-06-13,Starter,58.29,0,active
cus_00122,user122@acme.io,2023-03-10,Starter,80.5,6,active
cus_00123,user123@acme.io,2024-11-19,Starter,78.98,1,active
cus_00124,user124@acme.io,2024-04-14,Starter,11.95,1,active
cus_00125,user125@acme.io,2023-09-17,Business,71.55,4,active
cus_00126,user126@acme.io,2024-01-06,Starter,46.6,8,active
cus_00127,user127@acme.io,2025-03-23,Growth,52.37,7,active
cus_00128,user128@acme.io,2023-11-11,Starter,32.34,7,active
cus_00129,user129@acme.io,2025-05-31,Starter,41.97,4,active
cus_00130,user130@acme.io,2023-04-20,Starter,44.43,0,active
cus_00131,user131@acme.io,2023-11-22,Growth,62.63,5,active
cus_00132,user132@acme.io,2024-08-15,Starter,37.7,8,active
cus_00133,user133@acme.io,2024-06-22,Business,21.4,6,active
cus_00134,user134@acme.io,2023-02-16,Starter,49.48,0,active
cus_00135,user135@acme.io,2023-03-28,Growth,43.57,1,active
cus_00136,user136@acme.io,2024-03-25,Growth,42.49,7,active
cus_00137,user137@acme.io,2023-04-10,Business,57.53,2,active
cus_00138,user138@acme.io,2025-05-23,Growth,22.21,3,active
cus_00139,user139@acme.io,2023-09-13,Growth,16.63,4,active
cus_00140,user140@acme.io,2023-07-21,Starter,54.19,3,active
cus_00141,user141@acme.io,2023-08-22,Business,59.51,2,active
cus_00142,user142@acme.io,2024-12-27,Growth,68.81,5,active
cus_00143,user143@acme.io,2023-11-15,Starter,56.12,4,active
cus_00144,user144@acme.io,2025-02-20,Growth,75.39,5,active
cus_00145,user145@acme.io,2023-09-12,Growth,41.01,5,active
cus_00146,user146@acme.io,2023-08-17,Business,82.47,5,active
cus_00147,user147@acme.io,2024-10-10,Starter,81.25,1,active
cus_00148,user148@acme.io,2023-04-30,Starter,56.87,6,active
cus_00149,user149@acme.io,2023-03-22,Growth,50.9,4,active
cus_00150,user150@acme.io,2024-11-04,Business,38.34,8,active
cus_00151,user151@acme.io,2023-08-19,Starter,56.24,5,active
cus_00152,user152@acme.io,2023-08-08,Growth,41.36,6,active
cus_00153,user153@acme.io,2023-07-07,Starter,59.31,7,active
cus_00154,user154@acme.io,2023-05-27,Starter,74.89,0,active
cus_00155,user155@acme.io,2025-06-06,Growth,64.09,7,active
cus_00156,user156@acme.io,2025-01-06,Growth,25.55,1,active
cus_00157,user157@acme.io,2024-12-04,Starter,27.02,4,active
cus_00158,user158@acme.io,2023-09-03,Starter,75.8,7,active
cus_00159,user159@acme.io,2024-09-30,Starter,62.76,5,active
